"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","AccountId__c","AdjustedPrice__c","AssetCode__c","AssetStatus__c","BaseCost__c","BaseExtendedCost__c","BaseExtendedPrice__c","BasePriceMethod__c","BasePrice__c","BundleAssetId__c","BusinessLineItemId__c","BusinessObjectId__c","BusinessObjectType__c","ChargeType__c","Comments__c","Description__c","EndDate__c","ExtendedCost__c","ExtendedDescription__c","ExtendedPrice__c","Frequency__c","IsOptionRollupLine__c","IsPrimaryLine__c","ItemSequence__c","LineNumber__c","LineType__c","ListPrice__c","NetPrice__c","OptionCost__c","OptionId__c","OptionPrice__c","PriceIncludedInBundle__c","PriceType__c","ProductId__c","PurchaseDate__c","Quantity__c","SellingFrequency__c","SellingTerm__c","StartDate__c","AllowedActions__c","PricingDate__c","MustUpgrade__c"
"a05E0000003UFTrIAO","005E0000001h3DhIAI","0","Asset","2013-02-20 00:20:36","005E0000001h3DhIAI","2013-02-28 20:07:51","005E0000001em2EIAQ","2013-02-28 20:07:51","001E000000M4pZFIAZ","","","New","","","","","100.00000","","a0QE0000002sPcVMAU","a0fE00000011SiTIAU","","Standard Price","","","2013-03-22 00:00:00","","","","One Time","0","1","1","1","Product/Service","","250.00000","","","","0","","01tE0000001cQ41IAE","","1.00000","One Time","1.00000","2013-02-12 00:00:00","","","0"
"a05E0000003UFiJIAW","005E0000001em2EIAQ","0","Asset","2013-02-20 00:19:27","005E0000001em2EIAQ","2013-02-28 10:42:52","005E0000001hXyQIAU","2013-02-28 10:42:52","001E000000M4pZFIAZ","","","New","","","","","","","a0QE0000002sPckMAE","a0fE00000011SjvIAE","","Standard Price","","","2014-12-31 00:00:00","","","","One Time","0","1","1","1","Product/Service","","50.00000","","","","0","","01tE0000001cQ41IAE","","1.00000","One Time","1.00000","2011-01-01 00:00:00","","","1"
"a05E0000003UFiKIAW","005E0000001em2EIAQ","0","Asset","2013-02-20 00:19:27","005E0000001em2EIAQ","2013-02-20 00:19:27","005E0000001em2EIAQ","2013-02-20 00:19:27","001E000000M4pZFIAZ","","","New","","","","","","a05E0000003UFiJIAW","a0QE0000002sPcuMAE","a0fE00000011SjvIAE","","Standard Price","","","","","","","One Time","0","1","2","1","Option","","22.00000","","01tE0000001bn9qIAA","","0","","01tE0000001cQ41IAE","","1.00000","One Time","1.00000","","","",""
"a05E0000003UFiLIAW","005E0000001em2EIAQ","0","Asset","2013-02-20 00:19:27","005E0000001em2EIAQ","2013-02-20 00:19:27","005E0000001em2EIAQ","2013-02-20 00:19:27","001E000000M4pZFIAZ","","","New","","","","","","a05E0000003UFiJIAW","a0QE0000002sPcpMAE","a0fE00000011SjvIAE","","Standard Price","","","","","","","One Time","0","1","3","1","Option","","11.00000","","01tE0000001bn9lIAA","","0","","01tE0000001cQ41IAE","","1.00000","One Time","1.00000","","","",""
"a05E0000003VKLeIAO","005E0000001hXyQIAU","0","Asset","2013-02-28 19:26:11","005E0000001hXyQIAU","2013-02-28 19:26:11","005E0000001hXyQIAU","2013-02-28 19:26:11","001E000000M4pZFIAZ","","","New","","","","","","","a0QE0000002sPcVMAU","a0fE00000011SiTIAU","","","","","2014-12-31 00:00:00","","","","One Time","0","1","3","3","Product/Service","","10000.00000","","","","0","","01tE0000001cQ3rIAE","","5.00000","One Time","2.00000","2012-01-01 00:00:00","Increment;Amend;Renew;Cancel","","0"
