"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","AttributeGroupId__c","ProductId__c","Sequence__c"
"a0aE00000010XdqIAE","0","1","2012-08-29 20:56:26","005E0000001em2EIAQ","2012-08-29 20:56:26","005E0000001em2EIAQ","2012-08-29 20:56:26","","a0bE0000000G4JNIA0","01tE0000001IQYXIA4","1"
"a0aE0000004MggOIAS","0","Test","2012-11-17 00:29:37","005E0000001em2EIAQ","2012-11-17 00:29:37","005E0000001em2EIAQ","2012-11-17 00:29:37","","a0bE0000000G4JNIA0","01tE0000001bn9MIAQ","1"
"a0aE0000004MggTIAS","0","Test","2012-11-17 00:45:03","005E0000001em2EIAQ","2012-11-17 00:45:03","005E0000001em2EIAQ","2012-11-17 00:45:03","","a0bE0000000G4JNIA0","01tE0000001bn5yIAA","1"
"a0aE00000063nuQIAQ","0","Group Name","2013-01-29 19:45:11","005E0000001em2EIAQ","2013-01-29 19:45:11","005E0000001em2EIAQ","2013-01-29 19:45:11","","a0bE0000000G4JNIA0","01tE0000001cQ3SIAU","1"
