"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","MessageTag__c","Message__c","Message_de__c","Message_en__c","Message_fr__c","Message_it__c","Message_ja__c","SourceObjectId__c"
"a0JE0000004FzF5MAK","005E0000001em2EIAQ","0","a0JE0000004FzF5","2012-11-21 00:25:00","005E0000001em2EIAQ","2012-11-21 00:25:14","005E0000001em2EIAQ","2012-11-21 00:25:14","","{0} auto adds {1}","","","","","","a0GE0000005LnOzMAK"
"a0JE0000004FzG8MAK","005E0000001em2EIAQ","0","a0JE0000004FzG8","2012-11-21 00:38:42","005E0000001em2EIAQ","2012-11-21 00:38:42","005E0000001em2EIAQ","2012-11-21 00:38:42","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000005LnQbMAK"
"a0JE0000004G9f7MAC","005E0000001em2EIAQ","0","a0JE0000004G9f7","2012-11-26 22:07:48","005E0000001em2EIAQ","2012-11-26 22:07:48","005E0000001em2EIAQ","2012-11-26 22:07:48","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000005U7UBMA0"
"a0JE0000009dAIXMA2","005E0000001em2EIAQ","0","a0JE0000009dAIX","2012-12-08 19:52:04","005E0000001em2EIAQ","2012-12-08 19:52:14","005E0000001em2EIAQ","2012-12-08 19:52:14","{0} disabled {1}","{0} disables {1}","","","","","","a0GE0000005WIdrMAG"
"a0JE0000009f0tXMAQ","005E0000001em2EIAQ","0","a0JE0000009f0tX","2012-12-14 18:37:34","005E0000001em2EIAQ","2013-01-06 05:04:07","005E0000001em2EIAQ","2013-01-06 05:04:07","{0} requires at least two of {1}","{0} requires at least two of {1}","","","","","","a0GE0000005WolJMAS"
"a0JE0000009f8WtMAI","005E0000001em2EIAQ","0","a0JE0000009f8Wt","2012-12-19 01:39:37","005E0000001em2EIAQ","2012-12-19 01:42:19","005E0000001em2EIAQ","2012-12-19 01:42:19","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000005WtEYMA0"
"a0JE0000009fEq4MAE","005E0000001em2EIAQ","0","a0JE0000009fEq4","2012-12-21 19:16:03","005E0000001em2EIAQ","2012-12-21 19:16:03","005E0000001em2EIAQ","2012-12-21 19:16:03","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000005XAWjMAO"
"a0JE0000009fSi8MAE","005E0000001em2EIAQ","0","a0JE0000009fSi8","2013-01-06 05:06:59","005E0000001em2EIAQ","2013-01-06 05:06:59","005E0000001em2EIAQ","2013-01-06 05:06:59","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000006E6aGMAS"
"a0JE0000009fTEjMAM","005E0000001em2EIAQ","0","a0JE0000009fTEj","2013-01-07 08:17:28","005E0000001em2EIAQ","2013-01-09 01:23:24","005E0000001em2EIAQ","2013-01-09 01:23:24","{1} comes with {0} with a discount","{1} comes with {0} with a discount","","","","","","a0GE0000006E7UIMA0"
"a0JE0000009fmJ2MAI","005E0000001em2EIAQ","0","a0JE0000009fmJ2","2013-01-17 01:19:25","005E0000001em2EIAQ","2013-02-01 21:20:34","005E0000001em2EIAQ","2013-02-01 21:20:34","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000006EkzlMAC"
"a0JE0000009fwcYMAQ","005E0000001em2EIAQ","0","a0JE0000009fwcY","2013-01-23 23:12:22","005E0000001em2EIAQ","2013-01-23 23:12:22","005E0000001em2EIAQ","2013-01-23 23:12:22","{0} recommends {1}","{0} recommends {1}","","","","","","a0GE0000006F9QJMA0"
"a0JE0000009fwfMMAQ","005E0000001h3DhIAI","0","a0JE0000009fwfM","2013-01-24 01:26:31","005E0000001h3DhIAI","2013-01-24 01:26:31","005E0000001h3DhIAI","2013-01-24 01:26:31","","","","","","","","a0GE0000006F9hJMAS"
"a0JE0000009fwfwMAA","005E0000001em2EIAQ","0","a0JE0000009fwfw","2013-01-24 01:51:32","005E0000001em2EIAQ","2013-01-24 01:51:32","005E0000001em2EIAQ","2013-01-24 01:51:32","{0} adds {1}","{0} adds {1}","","","","","","a0GE0000006F9eOMAS"
"a0JE0000009fwhFMAQ","005E0000001h3DhIAI","0","a0JE0000009fwhF","2013-01-24 03:14:21","005E0000001h3DhIAI","2013-01-24 03:14:21","005E0000001h3DhIAI","2013-01-24 03:14:21","","","","","","","","a0GE0000006F9nFMAS"
"a0JE000000D87jvMAB","005E0000001em2EIAQ","0","a0JE000000D87jv","2013-01-29 19:40:05","005E0000001em2EIAQ","2013-02-28 07:18:03","005E0000001hSphIAE","2013-02-28 07:18:03","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000006FSLxMAO"
"a0JE000000D8LyeMAF","005E0000001em2EIAQ","0","a0JE000000D8Lye","2013-02-02 08:02:59","005E0000001em2EIAQ","2013-02-02 08:26:25","005E0000001em2EIAQ","2013-02-02 08:26:25","{0} cannot exceed quantity 20","{0} cannot exceed quantity 20","","","","","","a0GE0000006FgJdMAK"
