"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","PriceListItemId__c","Description__c","Dimension1Id__c","Dimension1ValueType__c","Dimension2Id__c","Dimension2ValueType__c","Dimension3Id__c","Dimension3ValueType__c","Dimension4Id__c","Dimension4ValueType__c","Dimension5Id__c","Dimension5ValueType__c","Dimension6Id__c","Dimension6ValueType__c","InitialRows__c","IsCumulativeRange__c","MatrixType__c","Sequence__c","StopProcessingMoreMatrices__c","NumberOfEntries__c"
"a0WE00000044WROMA2","0","PM-0000000839","2012-12-10 19:21:11","005E0000001em2EIAQ","2012-12-10 19:21:11","005E0000001em2EIAQ","2013-02-13 20:03:39","","a0TE00000021gGjMAI","","","","","","","","","","","","","","5","0","Dimension","1","0","0"
"a0WE00000044WRTMA2","0","PM-0000000840","2012-12-10 19:21:25","005E0000001em2EIAQ","2012-12-10 19:23:48","005E0000001em2EIAQ","2013-02-13 20:03:39","","a0TE00000021gGjMAI","","","","","","","","","","","","","","5","0","Condition","2","0","2"
