"Id","IsDeleted","ParentId","ParentSobjectType","CreatedById","CreatedDate","FieldName","DataType","OldvalString","NewvalString","OldvalFirstName","NewvalFirstName","OldvalLastName","NewvalLastName","OldvalNumber","NewvalNumber","OldvalDate","NewvalDate"
"017E0000029TD2TIAW","0","a08E0000009ejRRIAY","ClassificationName","005E0000001em2EIAQ","2012-08-30 18:34:42","createText","S","","","","","","","","","",""
"017E0000029TDHPIA4","0","a08E0000009ejRWIAY","ClassificationName","005E0000001em2EIAQ","2012-08-30 18:34:57","createText","S","","","","","","","","","",""
"017E0000029TDIDIA4","0","a07E0000003UmVRIA0","ClassificationHierarchy","005E0000001em2EIAQ","2012-08-30 18:35:28","createText","S","","","","","","","","","",""
"017E0000029TDIbIAO","0","a0TE000000036nXMAQ","PriceListItem","005E0000001em2EIAQ","2012-08-30 18:53:44","createText","S","","","","","","","","","",""
"017E0000029TDJyIAO","0","a0eE0000000EY0OIAW","ProductClassification","005E0000001em2EIAQ","2012-08-30 18:35:49","createText","S","","","","","","","","","",""
"017E0000029TDJzIAO","0","a0eE0000000EY0PIAW","ProductClassification","005E0000001em2EIAQ","2012-08-30 18:35:49","createText","S","","","","","","","","","",""
"017E0000029TDKfIAO","0","a07E0000003UmVWIA0","ClassificationHierarchy","005E0000001em2EIAQ","2012-08-30 18:36:16","createText","S","","","","","","","","","",""
"017E0000029TDLWIA4","0","a0eE0000000EY5WIAW","ProductClassification","005E0000001em2EIAQ","2012-08-30 18:36:27","createText","S","","","","","","","","","",""
"017E0000029TDoxIAG","0","a0TE000000036ncMAA","PriceListItem","005E0000001em2EIAQ","2012-08-30 18:53:53","createText","S","","","","","","","","","",""
"017E0000029TDrzIAG","0","a0TE000000036nNMAQ","PriceListItem","005E0000001em2EIAQ","2012-08-30 18:53:15","createText","S","","","","","","","","","",""
"017E0000029TEILIA4","0","a0TE000000036nSMAQ","PriceListItem","005E0000001em2EIAQ","2012-08-30 18:53:33","createText","S","","","","","","","","","",""
"017E0000029TEL7IAO","0","a0TE000000036nhMAA","PriceListItem","005E0000001em2EIAQ","2012-08-30 18:54:13","createText","S","","","","","","","","","",""
"017E0000029TEMuIAO","0","a0TE000000036nrMAA","PriceListItem","005E0000001em2EIAQ","2012-08-30 18:54:29","createText","S","","","","","","","","","",""
"017E0000029TEOKIA4","0","a0TE000000036nwMAA","PriceListItem","005E0000001em2EIAQ","2012-08-30 18:54:37","createText","S","","","","","","","","","",""
"017E0000029TL5qIAG","0","a07E0000003UmgMIAS","ClassificationHierarchy","005E0000001em2EIAQ","2012-08-30 21:02:38","createText","S","","","","","","","","","",""
"017E0000029TLDsIAO","0","a0eE0000000EYvEIAW","ProductClassification","005E0000001em2EIAQ","2012-08-30 21:03:38","createText","S","","","","","","","","","",""
"017E0000029TLDtIAO","0","a0eE0000000EYvFIAW","ProductClassification","005E0000001em2EIAQ","2012-08-30 21:03:38","createText","S","","","","","","","","","",""
"017E0000029TLDuIAO","0","a0eE0000000EYvGIAW","ProductClassification","005E0000001em2EIAQ","2012-08-30 21:03:38","createText","S","","","","","","","","","",""
"017E0000029TLIOIA4","0","a07E0000003UmgRIAS","ClassificationHierarchy","005E0000001em2EIAQ","2012-08-30 21:02:47","createText","S","","","","","","","","","",""
"017E0000029TLJHIA4","0","a0eE0000000EYv9IAG","ProductClassification","005E0000001em2EIAQ","2012-08-30 21:03:22","createText","S","","","","","","","","","",""
"017E0000029TLNuIAO","0","a07E0000003UmgWIAS","ClassificationHierarchy","005E0000001em2EIAQ","2012-08-30 21:03:01","createText","S","","","","","","","","","",""
"017E0000029TLQpIAO","0","a08E0000009el9NIAQ","ClassificationName","005E0000001em2EIAQ","2012-08-30 21:02:36","createText","S","","","","","","","","","",""
"017E0000029TLSJIA4","0","a0eE0000000EYvAIAW","ProductClassification","005E0000001em2EIAQ","2012-08-30 21:03:22","createText","S","","","","","","","","","",""
"017E0000029TLSKIA4","0","a0eE0000000EYvBIAW","ProductClassification","005E0000001em2EIAQ","2012-08-30 21:03:22","createText","S","","","","","","","","","",""
"017E0000029TLSxIAO","0","a0eE0000000EYvHIAW","ProductClassification","005E0000001em2EIAQ","2012-08-30 21:03:38","createText","S","","","","","","","","","",""
"017E0000029TLTRIA4","0","a0eE0000000EYvJIAW","ProductClassification","005E0000001em2EIAQ","2012-08-30 21:03:49","createText","S","","","","","","","","","",""
"017E0000029Uy4DIAS","0","a07E0000003UrAuIAK","ClassificationHierarchy","005E0000001em2EIAQ","2012-08-31 22:50:23","createText","S","","","","","","","","","",""
"017E000002DACddIAH","0","a07E0000003V1eNIAS","ClassificationHierarchy","005E0000001em2EIAQ","2012-09-05 22:42:52","createText","S","","","","","","","","","",""
"017E000002DAD6HIAX","0","a0eE0000000EokqIAC","ProductClassification","005E0000001em2EIAQ","2012-09-05 22:44:23","createText","S","","","","","","","","","",""
"017E000002DDKXOIA5","0","a07E0000003VAdqIAG","ClassificationHierarchy","005E0000001em2EIAQ","2012-09-07 21:13:18","createText","S","","","","","","","","","",""
"017E000002DDKdVIAX","0","a07E0000003VAe5IAG","ClassificationHierarchy","005E0000001em2EIAQ","2012-09-07 21:18:27","createText","S","","","","","","","","","",""
"017E000002DDKizIAH","0","a07E0000003VAZKIA4","ClassificationHierarchy","005E0000001em2EIAQ","2012-09-07 21:13:13","createText","S","","","","","","","","","",""
"017E000002DDKnaIAH","0","a07E0000003VAdvIAG","ClassificationHierarchy","005E0000001em2EIAQ","2012-09-07 21:13:23","createText","S","","","","","","","","","",""
"017E000002HsfiRIAR","0","a07E0000003VcjQIAS","ClassificationHierarchy","005E0000001em2EIAQ","2012-09-13 00:40:19","createText","S","","","","","","","","","",""
"017E000002HsfjJIAR","0","a0eE0000000FCd1IAG","ProductClassification","005E0000001em2EIAQ","2012-09-13 00:41:01","createText","S","","","","","","","","","",""
"017E000002HsfjKIAR","0","a0eE0000000FCd2IAG","ProductClassification","005E0000001em2EIAQ","2012-09-13 00:41:01","createText","S","","","","","","","","","",""
"017E000002HsfjLIAR","0","a0eE0000000FCd3IAG","ProductClassification","005E0000001em2EIAQ","2012-09-13 00:41:01","createText","S","","","","","","","","","",""
"017E000002UC3CGIA1","0","a0TE0000001oJTAMA2","PriceListItem","005E0000001em2EIAQ","2012-10-01 22:12:27","createText","S","","","","","","","","","",""
"017E000002UC4HLIA1","0","a0UE000000030GCMAY","PriceList","005E0000001em2EIAQ","2012-10-01 21:17:52","createText","S","","","","","","","","","",""
"017E000002UC4TrIAL","0","a0TE0000001oJN6MAM","PriceListItem","005E0000001em2EIAQ","2012-10-01 21:23:16","createText","S","","","","","","","","","",""
"017E000002UC4u1IAD","0","a08E000000AYDhuIAH","ClassificationName","005E0000001em2EIAQ","2012-10-01 22:14:15","createText","S","","","","","","","","","",""
"017E000002UC7G0IAL","0","a0eE0000000FruAIAS","ProductClassification","005E0000001em2EIAQ","2012-10-01 22:15:30","createText","S","","","","","","","","","",""
"017E000002UC7ciIAD","0","a0TE0000001oJTFMA2","PriceListItem","005E0000001em2EIAQ","2012-10-01 22:12:47","createText","S","","","","","","","","","",""
"017E000002UC7v3IAD","0","a0TE0000001oJT5MAM","PriceListItem","005E0000001em2EIAQ","2012-10-01 22:12:10","createText","S","","","","","","","","","",""
"017E000002UC7vMIAT","0","a0TE0000001oJTKMA2","PriceListItem","005E0000001em2EIAQ","2012-10-01 22:13:03","createText","S","","","","","","","","","",""
"017E000002UC7viIAD","0","a0eE0000000FruFIAS","ProductClassification","005E0000001em2EIAQ","2012-10-01 22:15:55","createText","S","","","","","","","","","",""
"017E000002UC7vjIAD","0","a0eE0000000FruGIAS","ProductClassification","005E0000001em2EIAQ","2012-10-01 22:15:55","createText","S","","","","","","","","","",""
"017E000002UC823IAD","0","a07E00000045HTyIAM","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-01 22:14:59","createText","S","","","","","","","","","",""
"017E000002UC82YIAT","0","a07E00000045HToIAM","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-01 22:14:21","createText","S","","","","","","","","","",""
"017E000002UC83zIAD","0","a0UE000000030ISMAY","PriceList","005E0000001em2EIAQ","2012-10-01 22:24:30","createText","S","","","","","","","","","",""
"017E000002UC85MIAT","0","a07E00000045HU8IAM","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-01 22:15:11","createText","S","","","","","","","","","",""
"017E000002UC85wIAD","0","a0TE0000001oJTUMA2","PriceListItem","005E0000001em2EIAQ","2012-10-01 22:25:08","createText","S","","","","","","","","","",""
"017E000002UC86YIAT","0","a0eE0000000FruBIAS","ProductClassification","005E0000001em2EIAQ","2012-10-01 22:15:30","createText","S","","","","","","","","","",""
"017E000002UC8KOIA1","0","a0TE0000001oJTPMA2","PriceListItem","005E0000001em2EIAQ","2012-10-01 22:24:55","createText","S","","","","","","","","","",""
"017E000002UCBGIIA5","0","a0eE0000000FsAQIA0","ProductClassification","005E0000001em2EIAQ","2012-10-01 23:14:15","createText","S","","","","","","","","","",""
"017E000002UCBGJIA5","0","a0eE0000000FsARIA0","ProductClassification","005E0000001em2EIAQ","2012-10-01 23:14:15","createText","S","","","","","","","","","",""
"017E000002UCBGKIA5","0","a0eE0000000FsASIA0","ProductClassification","005E0000001em2EIAQ","2012-10-01 23:14:15","createText","S","","","","","","","","","",""
"017E000002WXToaIAH","0","a0eE0000000FyT6IAK","ProductClassification","005E0000001em2EIAQ","2012-10-05 00:05:23","createText","S","","","","","","","","","",""
"017E000002WXTobIAH","0","a0eE0000000FyT7IAK","ProductClassification","005E0000001em2EIAQ","2012-10-05 00:05:23","createText","S","","","","","","","","","",""
"017E000002WXTocIAH","0","a0eE0000000FyT8IAK","ProductClassification","005E0000001em2EIAQ","2012-10-05 00:05:23","createText","S","","","","","","","","","",""
"017E000002WXVyxIAH","0","a0eE0000000FynsIAC","ProductClassification","005E0000001em2EIAQ","2012-10-05 01:02:18","createText","S","","","","","","","","","",""
"017E000002WXVyyIAH","0","a0eE0000000FyntIAC","ProductClassification","005E0000001em2EIAQ","2012-10-05 01:02:18","createText","S","","","","","","","","","",""
"017E000002WXVyzIAH","0","a0eE0000000FynuIAC","ProductClassification","005E0000001em2EIAQ","2012-10-05 01:02:18","createText","S","","","","","","","","","",""
"017E000002WXXbNIAX","0","a0UE0000000349ZMAQ","PriceList","005E0000001em2EIAQ","2012-10-05 00:06:07","createText","S","","","","","","","","","",""
"017E000002WXXdcIAH","0","a08E000000BAbS9IAL","ClassificationName","005E0000001em2EIAQ","2012-10-05 00:03:12","createText","S","","","","","","","","","",""
"017E000002WXXiXIAX","0","a07E00000045hPiIAI","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-05 00:03:19","createText","S","","","","","","","","","",""
"017E000002WXXk3IAH","0","a0TE0000001oim1MAA","PriceListItem","005E0000001em2EIAQ","2012-10-05 00:11:25","createText","S","","","","","","","","","",""
"017E000002WXXkZIAX","0","a0TE0000001oimGMAQ","PriceListItem","005E0000001em2EIAQ","2012-10-05 00:12:12","createText","S","","","","","","","","","",""
"017E000002WXXoHIAX","0","a0TE0000001oim6MAA","PriceListItem","005E0000001em2EIAQ","2012-10-05 00:11:41","createText","S","","","","","","","","","",""
"017E000002WXXokIAH","0","a0TE0000001oilwMAA","PriceListItem","005E0000001em2EIAQ","2012-10-05 00:10:59","createText","S","","","","","","","","","",""
"017E000002WXXq6IAH","0","a0TE0000001oimBMAQ","PriceListItem","005E0000001em2EIAQ","2012-10-05 00:11:59","createText","S","","","","","","","","","",""
"017E000002WXXqTIAX","0","a08E000000BAbbBIAT","ClassificationName","005E0000001em2EIAQ","2012-10-05 00:44:27","createText","S","","","","","","","","","",""
"017E000002WXXqUIAX","0","a07E00000045heAIAQ","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-05 00:47:45","createText","S","","","","","","","","","",""
"017E000002WXXzEIAX","0","a08E000000BAbb1IAD","ClassificationName","005E0000001em2EIAQ","2012-10-05 00:43:45","createText","S","","","","","","","","","",""
"017E000002WXY3ZIAX","0","a08E000000BAbbQIAT","ClassificationName","005E0000001em2EIAQ","2012-10-05 00:45:36","createText","S","","","","","","","","","",""
"017E000002WXYAkIAP","0","a08E000000BAbb6IAD","ClassificationName","005E0000001em2EIAQ","2012-10-05 00:43:55","createText","S","","","","","","","","","",""
"017E000002WXYDyIAP","0","a08E000000BAbbGIAT","ClassificationName","005E0000001em2EIAQ","2012-10-05 00:44:46","createText","S","","","","","","","","","",""
"017E000002WXYEoIAP","0","a08E000000BAbawIAD","ClassificationName","005E0000001em2EIAQ","2012-10-05 00:43:31","createText","S","","","","","","","","","",""
"017E000002WXYEuIAP","0","a07E00000045hgFIAQ","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-05 00:59:19","createText","S","","","","","","","","","",""
"017E000002WXYG9IAP","0","a08E000000BAbbLIAT","ClassificationName","005E0000001em2EIAQ","2012-10-05 00:45:24","createText","S","","","","","","","","","",""
"017E000002WXYGAIA5","0","a08E000000BAbbMIAT","ClassificationName","005E0000001em2EIAQ","2012-10-05 00:47:31","createText","S","","","","","","","","","",""
"017E000002WXYGOIA5","0","a08E000000BAbbVIAT","ClassificationName","005E0000001em2EIAQ","2012-10-05 00:46:12","createText","S","","","","","","","","","",""
"017E000002WXYGUIA5","0","a07E00000045he5IAA","ClassificationHierarchy","005E0000001em2EIAQ","2012-10-05 00:47:34","createText","S","","","","","","","","","",""
"017E000002WXYGYIA5","0","a08E000000BAbbaIAD","ClassificationName","005E0000001em2EIAQ","2012-10-05 00:46:23","createText","S","","","","","","","","","",""
"017E000002WXYJ9IAP","0","a0eE0000000FynYIAS","ProductClassification","005E0000001em2EIAQ","2012-10-05 00:50:56","createText","S","","","","","","","","","",""
"017E000002WXYLMIA5","0","a0eE0000000FyniIAC","ProductClassification","005E0000001em2EIAQ","2012-10-05 00:54:03","createText","S","","","","","","","","","",""
