"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","ConfigurationId__c","ChargeType__c","ClassificationId__c","Description__c","Frequency__c","GroupType__c","Sequence__c"
"a00E0000006t2OOIAY","0","Inspiron (One Time)","2013-02-04 06:42:20","005E0000001eioUIAQ","2013-02-04 06:42:20","005E0000001eioUIAQ","2013-02-04 06:42:20","","a0fE00000011KT7IAM","","a07E0000006kqyYIAQ","Inspiron (One Time)","One Time","Category","2"
"a00E0000006t2b5IAA","0","Inspiron - Standard Price (One Time)","2013-02-04 06:40:30","005E0000001eioUIAQ","2013-02-04 06:40:30","005E0000001eioUIAQ","2013-02-04 06:40:30","","a0fE00000011KT7IAM","Standard Price","a07E0000006kqyYIAQ","Inspiron - Standard Price (One Time)","One Time","Category","1"
"a00E0000007ov8sIAA","0","Inspiron - Subscription Fee (Monthly)","2013-02-28 12:14:56","005E0000001h3DhIAI","2013-02-28 12:14:56","005E0000001h3DhIAI","2013-02-28 12:14:56","","a0fE00000011YBPIA2","Subscription Fee","a07E0000006kqyYIAQ","Inspiron - Subscription Fee (Monthly)","Monthly","Category","3"
"a00E0000007ovAQIAY","0","Inspiron - Standard Price (One Time)","2013-02-28 12:14:54","005E0000001h3DhIAI","2013-02-28 12:14:54","005E0000001h3DhIAI","2013-02-28 12:14:54","","a0fE00000011YBPIA2","Standard Price","a07E0000006kqyYIAQ","Inspiron - Standard Price (One Time)","One Time","Category","1"
"a00E0000007ovAVIAY","0","Inspiron - Standard Price (Monthly)","2013-02-28 12:14:55","005E0000001h3DhIAI","2013-02-28 12:14:55","005E0000001h3DhIAI","2013-02-28 12:14:55","","a0fE00000011YBPIA2","Standard Price","a07E0000006kqyYIAQ","Inspiron - Standard Price (Monthly)","Monthly","Category","2"
"a00E0000007ovBsIAI","0","Latitude - Standard Price (One Time)","2013-02-28 12:22:54","005E0000001h3DhIAI","2013-02-28 12:22:54","005E0000001h3DhIAI","2013-02-28 12:22:54","","a0fE00000011YBPIA2","Standard Price","a07E0000006kqyTIAQ","Latitude - Standard Price (One Time)","One Time","Category","4"
"a00E0000007ozOSIAY","0","Inspiron (One Time)","2013-02-28 20:32:39","005E0000001em2EIAQ","2013-02-28 20:32:39","005E0000001em2EIAQ","2013-02-28 20:32:39","","a0fE00000011YYQIA2","","a07E0000006kqyYIAQ","Inspiron (One Time)","One Time","Category","2"
"a00E0000007ozfJIAQ","0","Inspiron - Standard Price (One Time)","2013-02-28 20:32:38","005E0000001em2EIAQ","2013-02-28 20:32:38","005E0000001em2EIAQ","2013-02-28 20:32:38","","a0fE00000011YYQIA2","Standard Price","a07E0000006kqyYIAQ","Inspiron - Standard Price (One Time)","One Time","Category","1"
