"Id","WhoId","WhatId","Subject","ActivityDate","Status","Priority","OwnerId","Description","Type","IsDeleted","AccountId","IsClosed","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","IsArchived","ActivityOriginType","CallDurationInSeconds","CallType","CallDisposition","CallObject","ReminderDateTime","IsReminderSet","RecurrenceActivityId","IsRecurrence","RecurrenceStartDateOnly","RecurrenceEndDateOnly","RecurrenceTimeZoneSidKey","RecurrenceType","RecurrenceInterval","RecurrenceDayOfWeekMask","RecurrenceDayOfMonth","RecurrenceInstance","RecurrenceMonthOfYear"
"00TE000000LVhfOMAT","000000000000000AAA","a0fE00000011KT7IAM","Created Version","2013-02-03 00:00:00","Completed","Normal","005E0000001eioUIAQ","Created Version 1","","0","","1","2013-02-04 06:38:22","005E0000001eioUIAQ","2013-02-04 06:38:22","005E0000001eioUIAQ","2013-02-04 06:38:22","0","","","","","","","0","","0","","","","","","","","",""
"00TE000000MqtJeMAJ","000000000000000AAA","a0fE00000011YBPIA2","Created Version","2013-02-28 00:00:00","Completed","Normal","005E0000001h3DhIAI","Created Version 1","","0","","1","2013-02-28 12:13:52","005E0000001h3DhIAI","2013-02-28 12:13:52","005E0000001h3DhIAI","2013-02-28 12:13:52","0","","","","","","","0","","0","","","","","","","","",""
"00TE000000MqtXnMAJ","000000000000000AAA","a0fE00000011YC4IAM","Created Version","2013-02-28 00:00:00","Completed","Normal","005E0000001hSphIAE","Created Version 1","","0","","1","2013-02-28 13:34:39","005E0000001hSphIAE","2013-02-28 13:34:39","005E0000001hSphIAE","2013-02-28 13:34:39","0","","","","","","","0","","0","","","","","","","","",""
"00TE000000Mqy0AMAR","000000000000000AAA","a0fE00000011YP7IAM","Created Version","2013-02-28 00:00:00","Completed","Normal","005E0000002zWTzIAM","Created Version 1","","0","","1","2013-02-28 17:15:35","005E0000002zWTzIAM","2013-02-28 17:15:35","005E0000002zWTzIAM","2013-02-28 17:15:35","0","","","","","","","0","","0","","","","","","","","",""
"00TE000000Mr3MmMAJ","000000000000000AAA","a0fE00000011YYQIA2","Created Version","2013-02-28 00:00:00","Completed","Normal","005E0000001em2EIAQ","Created Version 1","","0","","1","2013-02-28 20:30:55","005E0000001em2EIAQ","2013-02-28 20:30:55","005E0000001em2EIAQ","2013-02-28 20:30:55","0","","","","","","","0","","0","","","","","","","","",""
"00TE000000MrBifMAF","000000000000000AAA","a0fE00000011YdkIAE","Created Version","2013-02-28 00:00:00","Completed","Normal","005E0000001hXyQIAU","Created Version 1","","0","","1","2013-03-01 01:13:59","005E0000001hXyQIAU","2013-03-01 01:13:59","005E0000001hXyQIAU","2013-03-01 01:13:59","0","","","","","","","0","","0","","","","","","","","",""
