"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","UseType__c","BusinessObject__c","Description__c","Criteria__c","CriteriaFieldNames__c"
"a13E0000000VuGDIA0","005E0000001eioUIAQ","0","NkTest_1","2013-02-24 23:17:08","005E0000001eioUIAQ","2013-02-24 23:17:30","005E0000001eioUIAQ","2013-02-24 23:17:30","Option","SearchAttributeValue__c","","{   ""sObjectName"" : ""SearchAttributeValue__c"",   ""sObjectLabel"" : ""Search Attribute Value"",   ""filter"" : {     ""predicates"" : [ {       ""RowNum"" : 1,       ""FieldValue"" : ""Hardware"",       ""FieldType"" : ""MULTIPICKLIST"",       ""FieldName"" : ""Family__c"",       ""FieldLabel"" : ""Product Family"",       ""CompOper"" : ""equal to"",       ""BoolOper"" : null     } ],     ""condExpr"" : ""1"",     ""childFilter"" : null   } }","Family__c"
"a13E0000000VuOuIAK","005E0000001em2EIAQ","0","Option Selection","2013-02-25 20:38:42","005E0000001em2EIAQ","2013-02-25 20:38:42","005E0000001em2EIAQ","2013-02-25 20:38:42","Option","SearchAttributeValue__c","AbstractConfigTest.cls ConstraintResultHandler.cls ConstraintRule.cls ConstraintRuleAction.cls ConstraintRuleSupport.cls FormulaFieldController.cls GuidePageController.cls LineItem.cls LineItemFactory.cls ProductOptionComponent.cls ProductOptionComponentE","{   ""sObjectName"" : ""SearchAttributeValue__c"",   ""sObjectLabel"" : ""Search Attribute Value"",   ""filter"" : {     ""predicates"" : [ {       ""RowNum"" : 1,       ""FieldValue"" : ""Hardware"",       ""FieldType"" : ""MULTIPICKLIST"",       ""FieldName"" : ""Family__c"",       ""FieldLabel"" : ""Product Family"",       ""CompOper"" : ""contains"",       ""BoolOper"" : null     } ],     ""condExpr"" : ""1"",     ""childFilter"" : null   } }","Family__c"
